source,period,year_month,sentence_count,anger_pct,disgust_pct,fear_pct,joy_pct,neutral_pct,sadness_pct,surprise_pct
bbc_news_tv,control,2016-06,29,0.0,0.0,24.14,3.45,48.28,20.69,3.45
bbc_news_tv,control,2016-07,7,0.0,0.0,0.0,28.57,71.43,0.0,0.0
bbc_news_tv,control,2016-08,24,4.17,0.0,8.33,20.83,33.33,33.33,0.0
bbc_news_tv,control,2016-09,25,0.0,4.0,8.0,0.0,76.0,12.0,0.0
bbc_news_tv,control,2016-10,23,13.04,0.0,17.39,4.35,60.87,4.35,0.0
bbc_news_tv,control,2016-11,47,17.02,4.26,8.51,2.13,51.06,17.02,0.0
bbc_news_tv,control,2016-12,65,24.62,1.54,3.08,9.23,30.77,23.08,7.69
bbc_news_tv,control,2017-01,48,2.08,2.08,4.17,0.0,62.5,29.17,0.0
bbc_news_tv,control,2017-02,52,1.92,3.85,5.77,3.85,67.31,11.54,5.77
bbc_news_tv,control,2017-03,22,22.73,0.0,18.18,9.09,36.36,13.64,0.0
bbc_news_tv,control,2017-04,42,2.38,9.52,14.29,11.9,52.38,9.52,0.0
bbc_news_tv,control,2017-05,22,4.55,0.0,4.55,18.18,40.91,27.27,4.55
bbc_news_tv,control,2017-06,59,8.47,1.69,11.86,8.47,57.63,11.86,0.0
bbc_news_tv,control,2017-07,60,8.33,8.33,5.0,16.67,45.0,16.67,0.0
bbc_news_tv,control,2017-08,38,7.89,13.16,7.89,13.16,34.21,21.05,2.63
bbc_news_tv,control,2017-09,60,1.67,6.67,13.33,5.0,51.67,8.33,13.33
bbc_news_tv,control,2017-10,30,0.0,10.0,13.33,3.33,66.67,0.0,6.67
bbc_news_tv,control,2017-11,57,1.75,0.0,5.26,10.53,77.19,3.51,1.75
bbc_news_tv,control,2017-12,45,4.44,0.0,44.44,11.11,33.33,6.67,0.0
bbc_news_tv,control,2018-01,34,8.82,11.76,8.82,2.94,38.24,23.53,5.88
bbc_news_tv,control,2018-02,46,8.7,0.0,8.7,4.35,56.52,21.74,0.0
bbc_news_tv,control,2018-03,45,6.67,0.0,13.33,13.33,60.0,6.67,0.0
bbc_news_tv,control,2018-04,52,15.38,3.85,5.77,19.23,46.15,7.69,1.92
bbc_news_tv,control,2018-05,73,2.74,9.59,16.44,10.96,54.79,4.11,1.37
bbc_news_tv,control,2018-06,65,20.0,0.0,3.08,13.85,50.77,3.08,9.23
bbc_news_tv,control,2018-07,31,3.23,6.45,16.13,6.45,61.29,6.45,0.0
bbc_news_tv,control,2018-08,76,14.47,3.95,3.95,6.58,63.16,2.63,5.26
bbc_news_tv,control,2018-09,19,0.0,42.11,0.0,15.79,31.58,5.26,5.26
bbc_news_tv,control,2018-10,24,0.0,20.83,8.33,0.0,33.33,37.5,0.0
bbc_news_tv,control,2018-11,38,10.53,2.63,15.79,0.0,28.95,42.11,0.0
bbc_news_tv,control,2018-12,39,7.69,2.56,17.95,17.95,38.46,12.82,2.56
bbc_news_tv,control,2019-01,65,0.0,10.77,1.54,10.77,49.23,16.92,10.77
bbc_news_tv,control,2019-02,14,7.14,0.0,0.0,7.14,64.29,21.43,0.0
bbc_news_tv,control,2019-03,50,6.0,12.0,12.0,12.0,46.0,10.0,2.0
bbc_news_tv,control,2019-04,44,15.91,0.0,11.36,9.09,50.0,13.64,0.0
bbc_news_tv,control,2019-06,43,9.3,4.65,13.95,18.6,39.53,11.63,2.33
bbc_news_tv,control,2019-07,64,9.38,0.0,4.69,1.56,67.19,15.62,1.56
bbc_news_tv,control,2019-08,106,2.83,0.94,18.87,8.49,53.77,5.66,9.43
bbc_news_tv,control,2019-09,20,5.0,5.0,5.0,10.0,60.0,5.0,10.0
bbc_news_tv,control,2019-10,12,8.33,8.33,0.0,0.0,50.0,25.0,8.33
bbc_news_tv,control,2019-11,32,3.12,6.25,3.12,28.12,28.12,25.0,6.25
bbc_news_tv,covid,2019-12,36,13.89,2.78,8.33,5.56,61.11,8.33,0.0
bbc_news_tv,covid,2020-01,55,3.64,0.0,12.73,3.64,72.73,1.82,5.45
bbc_news_tv,covid,2020-02,139,2.88,2.88,13.67,3.6,56.12,17.27,3.6
bbc_news_tv,covid,2020-03,414,1.21,1.45,18.36,3.14,57.25,13.04,5.56
