sentence_id,year,month,year_month,source,sentence,sentiment_label,sentiment_score,confidence
00000,2019,12,2019-12,BBC News TV,wants to test some gadgets?,neutral,0,0.8307427763938904
00001,2019,12,2019-12,BBC News TV,"today, he is my furry glamorous assistant, getting his teeth into testing tech.",neutral,0,0.6417362093925476
00002,2019,12,2019-12,BBC News TV,"lots of different drugs, call port and new hospital drugs, all port and now hospital lunch.",neutral,0,0.7319692969322205
00003,2019,12,2019-12,BBC News TV,"drugs, call port and new hospital lunch.",neutral,0,0.5846030116081238
00004,2019,12,2019-12,BBC News TV,"to decide whether human or is the faster driver, we’re to raise the models that does have a cockpit, which the developers used to test the software.",neutral,0,0.8571003079414368
00005,2019,12,2019-12,BBC News TV,tim peak!,positive,1,0.6192197203636169
00006,2019,12,2019-12,BBC News TV,tim peak!,positive,1,0.6192197203636169
00007,2019,12,2019-12,BBC News TV,tim peak!,positive,1,0.6192197203636169
00008,2019,12,2019-12,BBC News TV,the amazing tim peak there and the equally amazing mark here is pacing me at street fighter and what are we playing this on?,positive,1,0.9451110363006592
00009,2019,12,2019-12,BBC News TV,"roads have been closed, rail services have been disrupted, and what with just a few days left until christmas, summer holidaymakers are hoping to go north, south and west of sydney have been urged to stay at home today, and delete their trip until tomorrow, because conditions are very very dangerous, as you say, very hot temperatures in parts of new south wales, we also have a prediction of very strong winds later, so that is a real menace for firefighters, hot temperatures, very conditions underfoot, and those winds will make those fires increasingly unpredictable.",negative,-1,0.8251416087150574
00010,2019,12,2019-12,BBC News TV,"we were quite close to a dam, a lake near the town of bargo, when this enormous helicopter, a water bombing aircraft came down with a giant hose, sucking up water, before going off to fight the fires, so in many “75 off to fight the fires, so in many ways it is a military style operation, boots on the ground supported by those squadrons of water bombing aircraft, tragically, the deaths of those two firefighters does illustrate the dangers on the frontline.",negative,-1,0.8529818058013916
00011,2019,12,2019-12,BBC News TV,"and of course feel, this is the fire frontline.",neutral,0,0.7677463889122009
00012,2019,12,2019-12,BBC News TV,"scientists are telling us that this annual fire season is not only starting earlier, it is likely only starting eartier, it is likely to last only starting earlier, it is likely to last longer, and is more intense, so bushfires have always been part of the australian story, long before the europeans arrived.",neutral,0,0.6053961515426636
00013,2019,12,2019-12,BBC News TV,"bushfires are a fact of life in this country, but what worries many scientists and other people is that they seem to be starting eartier other people is that they seem to be starting earlier and they are far starting eartier and they are far more starting earlier and they are far more intense.",negative,-1,0.668454647064209
00014,2019,12,2019-12,BBC News TV,"scientists cannot say that that particular bushfire west of sydney or a fire in western australia is directly caused by climate change, what what they can climate change, what what they ran say is that climate change, what what they can say is that global warming is making the conditions here dryer, and that is a massive factor in these bushfires here in eastern australia for example, we have had a very long drought, so what you have our conditions of conditions, no rain, strong winds and hot temperatures, and those conditions do conspire to heighten the fire danger as we say here in new south wales, three major areas facing catastrophic conditions, and that is bad as it gets.",negative,-1,0.7857938408851624
00015,2019,12,2019-12,BBC News TV,: what we can see is the rule of more most is the is the mic of more most is the mutation is the rule of more most is the mutation that is the date of ignores the principle of national sovereignty that ignores the authority of the nation.,neutral,0,0.5601691603660583
00016,2019,12,2019-12,BBC News TV,"5 years after the referendum, the new felt strong enough to declare britain after brexit would set its own rules and standards, not follow the ’s.",neutral,0,0.7180051803588867
00017,2019,12,2019-12,BBC News TV,"the law will require the is clear of rules by december 2020, with or without a deal.",neutral,0,0.9041303992271423
00018,2019,12,2019-12,BBC News TV,"after harry dunn died, anne sacoolas flew back to the united states under diplomatic immunity.",neutral,0,0.8417866826057434
00019,2019,12,2019-12,BBC News TV,"two weeks later, anne sacoolas left the , claiming diplomatic immunity.",neutral,0,0.7886733412742615
00020,2019,12,2019-12,BBC News TV,it is extremely positive because as far as i ran see every extremely positive because as far as i can see every request that has i ran see every request that has been i can see every request that has been sent i ran see every request that has been sent by i can see every request that has been sent by the to the has been successful.,positive,1,0.9518596529960632
00021,2019,12,2019-12,BBC News TV,the duke of edinburgh - husband of queen elizabeth - is spending the night in a london hospital.,neutral,0,0.7258440852165222
00022,2019,12,2019-12,BBC News TV,nasa hopes the boeing starliner could be used to ferry passengers to and from the international space station - but a test flight in florida failed to go as planned.,negative,-1,0.5056808590888977
00023,2019,12,2019-12,BBC News TV,"and despite the setback, the agency is staying positive.",positive,1,0.8106412291526794
00024,2019,12,2019-12,BBC News TV,"so a lot of things went right today, and i want to be really clear, a lot of things went right and this is we test and because we are now in orbit and because in fact elevating our orbit, we are going to get a lot more data and a lot more information in the coming days.",positive,1,0.8384724259376526
00025,2019,12,2019-12,BBC News TV,so this is all very positive.,positive,1,0.9743029475212097
00026,2019,12,2019-12,BBC News TV,"another enterprise, the california space-x company, has already completed a test flight of its astronaut capsule.",neutral,0,0.8028207421302795
00027,2019,12,2019-12,BBC News TV,she is well aware that some cases she is well aware that some rases the reality she is well aware that some cases the reality does not yet match the aspiration -- sharan.,neutral,0,0.6080486178398132
00028,2019,12,2019-12,BBC News TV,to make cement carbon negative by 2040.,neutral,0,0.6261638402938843
00029,2019,12,2019-12,BBC News TV,and becoming carbon negative requires a huge investment in cutting-edge technology to remove the may remaining carbon dioxide.,neutral,0,0.6259583234786987
00030,2019,12,2019-12,BBC News TV,"roads have been closed, rail services have been disrupt third, and what with just a few days left until christmas, summer holidaymakers hoping to go north, south, and west of sydney have been urged to stay at home today and to delay their trip until tomorrow, because conditions are very, very dangerous, as you say, very hot temperatures in parts of new south walas.",negative,-1,0.8006137013435364
00031,2019,12,2019-12,BBC News TV,"and of course there have been deaths, scrutiny.",negative,-1,0.7426136136054993
00032,2019,12,2019-12,BBC News TV,"and of course there have been deaths, as well, happened there, including a couple of volunteer firefighters.",negative,-1,0.811480700969696
00033,2019,12,2019-12,BBC News TV,"scientists are telling us that this annual fire season is not only starting earlier, it is not only starting eartier, it is likely to not only starting earlier, it is likely to last longer, and is more intense.",neutral,0,0.6643935441970825
00034,2019,12,2019-12,BBC News TV,but what worries many scientists and other people is that they seem to be starting earlier and they seem to be starting eartier and they are far they seem to be starting earlier and they are far more intense.,negative,-1,0.5946972966194153
00035,2019,12,2019-12,BBC News TV,"now, scientists can’t say that that particular bushfire west of sydney or a fire in western australia is directly caused by climate change, but what they do say is that global warming is making the conditions here dryer and that is a massive factor in these bushfires.",negative,-1,0.5755966305732727
00036,2019,12,2019-12,BBC News TV,"the local ownership development, i think another is his emphasis on education and on empowering of women and the returns you get from that and in recent, i don’t think it was something he really began early in his career but really began earty in his career but over the really began early in his career but over the last 15 years or so he was increasingly involved in using randomised controlled trials to test interventions and see how well they worked.",neutral,0,0.7071869969367981
00037,2019,12,2019-12,BBC News TV,"and that has been a pioneering step in development, nobel prize for economics went to three economists economic went to three economists who economics went to three economists who worked on them and in some cases with or on - inspired programmes",neutral,0,0.6430783867835999
00038,2019,12,2019-12,BBC News TV,"so i think he leaves a huge legacy at the top tiers of development but also in villages around the world, kids who otherwise would have died who are here because of his work.",neutral,0,0.4953259229660034
00039,2019,12,2019-12,BBC News TV,"the duke of edinburgh, husband of queen elizabeth, is spending the night in a london hospital.",neutral,0,0.7402224540710449
00040,2019,12,2019-12,BBC News TV,"nasa hopes the boeing starliner craft could be used to ferry passengers to and from the international space station, but a test flight in florida failed to go as planned.",negative,-1,0.5118337869644165
00041,2019,12,2019-12,BBC News TV,"and despite the setback, the agency is staying positive.",positive,1,0.8106412291526794
00042,2019,12,2019-12,BBC News TV,"and i want to be really clear - a lot of things went right, and this is we test and because we are now in orbit and because, in fact, elevating our orbit, we are going to get a lot more data and a lot more information in the coming days.",positive,1,0.8994706273078918
00043,2019,12,2019-12,BBC News TV,so this is all very positive.,positive,1,0.9743029475212097
00044,2019,12,2019-12,BBC News TV,"another enterprise, california’s spacex company, has already completed its test flight of its astronaut capsule.",neutral,0,0.7764133810997009
00045,2019,12,2019-12,BBC News TV,"russia and china have vetoed a security council resolution that would have allowed aid to continue flowing to civilians in northern a aid chief warned that without an agreement there’d be a rapid increase in hunger and disease, and more deaths.",negative,-1,0.8681942224502563
00046,2019,12,2019-12,BBC News TV,where’s your mask?,neutral,0,0.6124930381774902
00047,2019,12,2019-12,BBC News TV,"brilliantly written by belfast playwright owen mccafferty and directed by glenn leyburn and lisa barros d’sa, who made the life-affirming good vibrations, ordinary love is a remarkable picture that approaches a difficult subject matter with wit, honesty and a large dose of humour.",positive,1,0.9500537514686584
