sentence_id,year,month,year_month,source,sentence,sentiment_label,sentiment_score,confidence
00000,2019,12,2019-12,BBC News TV,wants to test some gadgets?,positive,0,0.9943404197692871
00001,2019,12,2019-12,BBC News TV,"today, he is my furry glamorous assistant, getting his teeth into testing tech.",positive,0,0.9984886646270752
00002,2019,12,2019-12,BBC News TV,"lots of different drugs, call port and new hospital drugs, all port and now hospital lunch.",positive,0,0.9966789484024048
00003,2019,12,2019-12,BBC News TV,"drugs, call port and new hospital lunch.",positive,0,0.9962384700775146
00004,2019,12,2019-12,BBC News TV,"to decide whether human or is the faster driver, we’re to raise the models that does have a cockpit, which the developers used to test the software.",positive,0,0.9918937087059021
00005,2019,12,2019-12,BBC News TV,tim peak!,positive,0,0.9978762865066528
00006,2019,12,2019-12,BBC News TV,tim peak!,positive,0,0.9978762865066528
00007,2019,12,2019-12,BBC News TV,tim peak!,positive,0,0.9978762865066528
00008,2019,12,2019-12,BBC News TV,the amazing tim peak there and the equally amazing mark here is pacing me at street fighter and what are we playing this on?,positive,0,0.9977141618728638
00009,2019,12,2019-12,BBC News TV,"roads have been closed, rail services have been disrupted, and what with just a few days left until christmas, summer holidaymakers are hoping to go north, south and west of sydney have been urged to stay at home today, and delete their trip until tomorrow, because conditions are very very dangerous, as you say, very hot temperatures in parts of new south wales, we also have a prediction of very strong winds later, so that is a real menace for firefighters, hot temperatures, very conditions underfoot, and those winds will make those fires increasingly unpredictable.",negative,-1,0.999387264251709
00010,2019,12,2019-12,BBC News TV,"we were quite close to a dam, a lake near the town of bargo, when this enormous helicopter, a water bombing aircraft came down with a giant hose, sucking up water, before going off to fight the fires, so in many “75 off to fight the fires, so in many ways it is a military style operation, boots on the ground supported by those squadrons of water bombing aircraft, tragically, the deaths of those two firefighters does illustrate the dangers on the frontline.",negative,-1,0.9902681708335876
00011,2019,12,2019-12,BBC News TV,"and of course feel, this is the fire frontline.",positive,0,0.998088538646698
00012,2019,12,2019-12,BBC News TV,"scientists are telling us that this annual fire season is not only starting earlier, it is likely only starting eartier, it is likely to last only starting earlier, it is likely to last longer, and is more intense, so bushfires have always been part of the australian story, long before the europeans arrived.",positive,0,0.9956876635551453
00013,2019,12,2019-12,BBC News TV,"bushfires are a fact of life in this country, but what worries many scientists and other people is that they seem to be starting eartier other people is that they seem to be starting earlier and they are far starting eartier and they are far more starting earlier and they are far more intense.",positive,0,0.9909815192222595
00014,2019,12,2019-12,BBC News TV,"scientists cannot say that that particular bushfire west of sydney or a fire in western australia is directly caused by climate change, what what they can climate change, what what they ran say is that climate change, what what they can say is that global warming is making the conditions here dryer, and that is a massive factor in these bushfires here in eastern australia for example, we have had a very long drought, so what you have our conditions of conditions, no rain, strong winds and hot temperatures, and those conditions do conspire to heighten the fire danger as we say here in new south wales, three major areas facing catastrophic conditions, and that is bad as it gets.",negative,-1,0.9975492358207703
00015,2019,12,2019-12,BBC News TV,: what we can see is the rule of more most is the is the mic of more most is the mutation is the rule of more most is the mutation that is the date of ignores the principle of national sovereignty that ignores the authority of the nation.,negative,-1,0.9975959658622742
00016,2019,12,2019-12,BBC News TV,"5 years after the referendum, the new felt strong enough to declare britain after brexit would set its own rules and standards, not follow the ’s.",positive,0,0.9890405535697937
00017,2019,12,2019-12,BBC News TV,"the law will require the is clear of rules by december 2020, with or without a deal.",positive,0,0.9932016730308533
00018,2019,12,2019-12,BBC News TV,"after harry dunn died, anne sacoolas flew back to the united states under diplomatic immunity.",positive,0,0.9919746518135071
00019,2019,12,2019-12,BBC News TV,"two weeks later, anne sacoolas left the , claiming diplomatic immunity.",negative,-1,0.9881379008293152
00020,2019,12,2019-12,BBC News TV,it is extremely positive because as far as i ran see every extremely positive because as far as i can see every request that has i ran see every request that has been i can see every request that has been sent i ran see every request that has been sent by i can see every request that has been sent by the to the has been successful.,positive,0,0.9982313513755798
00021,2019,12,2019-12,BBC News TV,the duke of edinburgh - husband of queen elizabeth - is spending the night in a london hospital.,negative,-1,0.9901594519615173
