sentence_id,year,month,year_month,source,period,sentence,sentiment_label,sentiment_score,confidence
00000,2016,12,2016-12,bbc_news_tv,control,"the trump transition team has issued a statement saying that two leaders, the tie weenies leader tsai ing-wen and the president elect donald trump, noted president elect donald tmmp, noted the dose president elect donald trump, noted the close economical and security the dose economical and security ties that the close economical and security ties that exist between taiwan and the .",neutral,0,0.9942465424537659
00001,2016,12,2016-12,bbc_news_tv,control,premier league rules require clubs to forward any mles require clubs to forward any allegations of rules require clubs to forward any allegations of abuse.,neutral,0,0.9795390367507935
00002,2016,12,2016-12,bbc_news_tv,control,"because in many cases, and this is the use because in many cases, and this is the case with sony in particular, the rase with sony in particular, the the case with sony in particular, the human link is often the weakest part of any security system.",negative,-1,0.996249258518219
00003,2016,12,2016-12,bbc_news_tv,control,the 22-year-old has been rushed to 22-year-old has been mshed to hospital with 22-year-old has been rushed to hospital with suspected injuries to her legs.,neutral,0,0.7392791509628296
00004,2016,12,2016-12,bbc_news_tv,control,we are going to leicestershire because i’m going to be testing a driverless or as they all be testing a driverless or as they call autonomous car.,neutral,0,0.9858605861663818
00005,2016,12,2016-12,bbc_news_tv,control,"although across the output the negative side of castro’s legacy was made clear, some of the guests appearing on news that morning emphasised the positive, suggesting the blame for cuba’s problems lay elsewhere.",negative,-1,0.9961972236633301
00006,2016,12,2016-12,bbc_news_tv,control,"one of the world’s best-known scientists, stephen hawking, has been taken to hospital in rome.",negative,-1,0.9712356328964233
00007,2016,12,2016-12,bbc_news_tv,control,"one of the best known scientists, stephen hawking has been taken to hospital in rome.",negative,-1,0.9897007942199707
00008,2016,06,2016-06,bbc_news_tv,control,"we heard it from president jean-aaude yunker, but it from presidentjean-claude yunker, but he went on to get to the nub of it with some difficult decisions because he said any delay would prolong the uncertainty, we have rules to deal with this in an have mles to deal with this in an orderly way have rules to deal with this in an orderly way because there is a consensus under that moderate language, determination to get on with the negotiations for a brexit.",neutral,0,0.9985644221305847
00009,2016,06,2016-06,bbc_news_tv,control,it is there by virtue of broadcasting rules which virtue of broadcasting mles which give it the virtue of broadcasting rules which give it the prominence it doesn’t deserve with money supplied to it by various dodgy billionaires.,negative,-1,0.9966520667076111
