year_month,mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,sentiment_std
2019-12,-0.0417,0.0,26.39,43.06,30.56,72,0.7588
2020-01,-0.2143,0.0,0.0,78.57,21.43,42,0.4153
2020-02,-0.4,0.0,2.14,55.71,42.14,140,0.5338
2020-03,-0.4116,0.0,4.76,49.32,45.92,294,0.5819
2020-04,-0.2146,0,13.7,51.14,35.16,219,0.6668
2020-05,-0.2463,0.0,6.47,62.44,31.09,402,0.5619
2020-06,-0.1142,0,9.59,69.41,21.0,219,0.5424
2020-07,-0.2298,0.0,3.63,69.76,26.61,248,0.5006
2020-08,-0.3043,0.0,5.59,58.39,36.02,322,0.5697
2020-09,-0.2715,0,5.43,61.99,32.58,221,0.5548
2020-10,-0.1679,0,9.38,64.44,26.17,405,0.5729
2020-11,-0.2173,0.0,4.76,68.75,26.49,336,0.5158
2020-12,0.0528,0,15.54,74.19,10.26,341,0.506
2021-01,-0.0542,0.0,15.06,64.46,20.48,332,0.5946
2021-02,-0.0321,0.0,14.1,68.59,17.31,156,0.5613
2021-03,-0.0299,0,14.93,67.16,17.91,201,0.5737
2021-04,-0.2452,0.0,13.46,48.56,37.98,208,0.6756
2021-05,-0.1316,0.0,9.87,67.11,23.03,152,0.5601
2021-06,-0.2635,0,7.78,58.08,34.13,167,0.5932
2021-07,-0.2898,0.0,5.1,60.83,34.08,314,0.5556
2021-08,-0.1807,0.0,6.72,68.49,24.79,238,0.5326
2021-09,-0.1702,0.0,7.45,68.09,24.47,94,0.5416
2021-10,-0.0441,0.0,10.29,75.0,14.71,68,0.5018
2021-11,-0.1221,0.0,8.72,70.35,20.93,172,0.5322
2021-12,-0.1222,0.0,5.56,76.67,17.78,270,0.4682
2022-01,-0.2177,0.0,6.45,65.32,28.23,124,0.5494
2022-02,-0.0625,0.0,16.07,61.61,22.32,112,0.6192
2022-03,-0.2766,0,4.26,63.83,31.91,47,0.5398
2022-04,-0.2222,0,14.29,49.21,36.51,63,0.6826
2022-05,-0.3735,0,7.23,48.19,44.58,83,0.619
2022-06,-0.1639,0,4.92,73.77,21.31,61,0.4892
2022-07,-0.3514,0,2.7,59.46,37.84,37,0.5383
2022-08,-0.2857,0,15.38,40.66,43.96,91,0.7193
2022-09,0.0909,0,9.09,90.91,0.0,11,0.3015
2022-10,-0.125,0.0,10.94,65.62,23.44,64,0.5774
2022-11,-0.1395,0,13.95,58.14,27.91,43,0.6392
2022-12,-0.3333,0.0,8.33,50.0,41.67,48,0.6302
2023-01,-0.0667,0.0,15.0,63.33,21.67,60,0.6069
2023-02,-0.3226,0,6.45,54.84,38.71,31,0.5993
2023-03,-0.2593,0,7.41,59.26,33.33,27,0.5944
2023-04,-0.0571,0,14.29,65.71,20.0,35,0.5913
2023-05,-0.1892,0,10.81,59.46,29.73,37,0.6163
