year_month,mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,sentiment_std
2019-12,-0.0119,0.0,27.38,44.05,28.57,84,0.7524
2020-01,-0.1509,0,3.77,77.36,18.87,53,0.4556
2020-02,-0.3947,0.0,1.97,56.58,41.45,152,0.5294
2020-03,-0.4281,0.0,5.0,47.19,47.81,320,0.5881
2020-04,-0.2209,0,13.65,50.6,35.74,249,0.6686
2020-05,-0.2451,0,7.38,60.74,31.89,461,0.5773
2020-06,-0.1351,0,10.81,64.86,24.32,259,0.5783
2020-07,-0.2492,0,5.65,63.79,30.56,301,0.5487
2020-08,-0.304,0,5.78,58.05,36.17,329,0.5728
2020-09,-0.2823,0.0,6.05,59.68,34.27,248,0.57
2020-10,-0.217,0,8.88,60.55,30.57,507,0.59
2020-11,-0.2506,0,3.84,67.26,28.9,391,0.515
2020-12,0.0943,0.0,19.1,71.23,9.67,424,0.5287
2021-01,-0.0743,0,15.65,61.27,23.08,377,0.6187
2021-02,-0.0279,0,16.2,64.8,18.99,179,0.5943
2021-03,-0.02,0.0,15.6,66.8,17.6,250,0.577
2021-04,-0.213,0.0,15.28,48.15,36.57,216,0.6895
2021-05,-0.1411,0,10.43,65.03,24.54,163,0.576
2021-06,-0.2485,0,8.88,57.4,33.73,169,0.6053
2021-07,-0.3058,0,5.5,58.41,36.09,327,0.5687
2021-08,-0.1679,0.0,8.02,67.18,24.81,262,0.5488
2021-09,-0.1321,0.0,11.32,64.15,24.53,106,0.5868
2021-10,-0.0385,0.0,11.54,73.08,15.38,78,0.5208
2021-11,-0.0952,0,13.23,64.02,22.75,189,0.5938
2021-12,-0.142,0,7.85,70.09,22.05,331,0.5289
2022-01,-0.2256,0,7.52,62.41,30.08,133,0.5723
2022-02,-0.0606,0.0,18.18,57.58,24.24,132,0.651
2022-03,-0.3509,0,1.75,61.4,36.84,57,0.5172
2022-04,-0.2239,0,14.93,47.76,37.31,67,0.6924
2022-05,-0.3721,0.0,6.98,48.84,44.19,86,0.6145
2022-06,-0.1618,0.0,4.41,75.0,20.59,68,0.4766
2022-07,-0.4894,-1,2.13,46.81,51.06,47,0.5466
2022-08,-0.2577,0,17.53,39.18,43.3,97,0.7399
2022-09,0,0,9.09,81.82,9.09,11,0.4472
2022-10,-0.0952,0,12.7,65.08,22.22,63,0.5879
2022-11,-0.1489,0,14.89,55.32,29.79,47,0.6587
2022-12,-0.25,0.0,10.94,53.12,35.94,64,0.6424
2023-01,-0.1493,0,11.94,61.19,26.87,67,0.6094
2023-02,-0.3333,0.0,6.67,53.33,40.0,30,0.6065
2023-03,-0.1613,0,12.9,58.06,29.03,31,0.6375
2023-04,-0.0857,0,11.43,68.57,20.0,35,0.5621
2023-05,-0.2326,0,11.63,53.49,34.88,43,0.6487
