source,period,year_month,mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,sentiment_std
bbc_news_tv,control,2016-06,-0.5517,-1,0.0,44.83,55.17,29,0.5061
bbc_news_tv,control,2016-07,0,0,0.0,100.0,0.0,7,0.0
bbc_news_tv,control,2016-08,-0.5,-0.5,0.0,50.0,50.0,24,0.5108
bbc_news_tv,control,2016-09,-0.32,0,0.0,68.0,32.0,25,0.4761
bbc_news_tv,control,2016-10,-0.6087,-1,0.0,39.13,60.87,23,0.499
bbc_news_tv,control,2016-11,-0.5319,-1,0.0,46.81,53.19,47,0.5044
bbc_news_tv,control,2016-12,-0.6308,-1,0.0,36.92,63.08,65,0.4864
bbc_news_tv,control,2017-01,-0.2917,0.0,0.0,70.83,29.17,48,0.4593
bbc_news_tv,control,2017-02,-0.5,-0.5,0.0,50.0,50.0,52,0.5049
bbc_news_tv,control,2017-03,-0.3636,0.0,0.0,63.64,36.36,22,0.4924
bbc_news_tv,control,2017-04,-0.4762,0.0,0.0,52.38,47.62,42,0.5055
bbc_news_tv,control,2017-05,-0.5,-0.5,0.0,50.0,50.0,22,0.5118
bbc_news_tv,control,2017-06,-0.4407,0,0.0,55.93,44.07,59,0.5007
bbc_news_tv,control,2017-07,-0.5333,-1.0,0.0,46.67,53.33,60,0.5031
bbc_news_tv,control,2017-08,-0.5,-0.5,0.0,50.0,50.0,38,0.5067
bbc_news_tv,control,2017-09,-0.4,0.0,0.0,60.0,40.0,60,0.494
bbc_news_tv,control,2017-10,-0.4,0.0,0.0,60.0,40.0,30,0.4983
bbc_news_tv,control,2017-11,-0.193,0,0.0,80.7,19.3,57,0.3981
bbc_news_tv,control,2017-12,-0.5333,-1,0.0,46.67,53.33,45,0.5045
bbc_news_tv,control,2018-01,-0.5,-0.5,0.0,50.0,50.0,34,0.5075
bbc_news_tv,control,2018-02,-0.3478,0.0,0.0,65.22,34.78,46,0.4815
bbc_news_tv,control,2018-03,-0.4667,0,0.0,53.33,46.67,45,0.5045
bbc_news_tv,control,2018-04,-0.4808,0.0,0.0,51.92,48.08,52,0.5045
bbc_news_tv,control,2018-05,-0.3562,0,0.0,64.38,35.62,73,0.4822
bbc_news_tv,control,2018-06,-0.3846,0,0.0,61.54,38.46,65,0.4903
bbc_news_tv,control,2018-07,-0.4516,0,0.0,54.84,45.16,31,0.5059
bbc_news_tv,control,2018-08,-0.5132,-1.0,0.0,48.68,51.32,76,0.5031
bbc_news_tv,control,2018-09,-0.5263,-1,0.0,47.37,52.63,19,0.513
bbc_news_tv,control,2018-10,-0.6667,-1.0,0.0,33.33,66.67,24,0.4815
bbc_news_tv,control,2018-11,-0.5789,-1.0,0.0,42.11,57.89,38,0.5004
bbc_news_tv,control,2018-12,-0.2821,0,0.0,71.79,28.21,39,0.4559
bbc_news_tv,control,2019-01,-0.4462,0,0.0,55.38,44.62,65,0.501
bbc_news_tv,control,2019-02,-0.5,-0.5,0.0,50.0,50.0,14,0.5189
bbc_news_tv,control,2019-03,-0.62,-1.0,0.0,38.0,62.0,50,0.4903
bbc_news_tv,control,2019-04,-0.5227,-1.0,0.0,47.73,52.27,44,0.5053
bbc_news_tv,control,2019-06,-0.2791,0,0.0,72.09,27.91,43,0.4539
bbc_news_tv,control,2019-07,-0.5156,-1.0,0.0,48.44,51.56,64,0.5037
bbc_news_tv,control,2019-08,-0.5566,-1.0,0.0,44.34,55.66,106,0.4991
bbc_news_tv,control,2019-09,-0.55,-1.0,0.0,45.0,55.0,20,0.5104
bbc_news_tv,control,2019-10,-0.8333,-1.0,0.0,16.67,83.33,12,0.3892
bbc_news_tv,control,2019-11,-0.4062,0.0,0.0,59.38,40.62,32,0.499
bbc_news_tv,covid,2019-12,-0.3889,0.0,0.0,61.11,38.89,36,0.4944
bbc_news_tv,covid,2020-01,-0.6364,-1,0.0,36.36,63.64,55,0.4855
bbc_news_tv,covid,2020-02,-0.8129,-1,0.0,18.71,81.29,139,0.3914
bbc_news_tv,covid,2020-03,-0.5942,-1.0,0.0,40.58,59.42,414,0.4916
bbc_news_tv,covid,2020-04,-0.4845,0,0.0,51.55,48.45,419,0.5004
bbc_news_tv,covid,2020-05,-0.5084,-1.0,0.0,49.16,50.84,478,0.5005
bbc_news_tv,covid,2020-06,-0.4231,0.0,0.0,57.69,42.31,312,0.4948
bbc_news_tv,covid,2020-07,-0.5187,-1.0,0.0,48.13,51.87,268,0.5006
bbc_news_tv,covid,2020-08,-0.4538,0.0,0.0,54.62,45.38,260,0.4988
bbc_news_tv,covid,2020-09,-0.6048,-1.0,0.0,39.52,60.48,248,0.4899
