year_month,mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,sentiment_std
2019-12,-0.2222,0,11.11,55.56,33.33,9,0.6667
2020-01,0,0,0.0,100.0,0.0,5,0.0
2020-02,-0.5769,-1.0,1.28,39.74,58.97,78,0.5227
2020-03,-0.4304,0.0,5.7,45.57,48.73,158,0.6011
2020-04,-0.2719,0.0,10.53,51.75,37.72,114,0.642
2020-05,-0.1442,0,9.77,66.05,24.19,215,0.5659
2020-06,-0.0753,0,19.35,53.76,26.88,93,0.6795
2020-07,-0.3243,0.0,4.05,59.46,36.49,148,0.5498
2020-08,-0.3418,0.0,2.53,60.76,36.71,158,0.5266
2020-09,-0.3427,0,4.2,57.34,38.46,143,0.558
2020-10,-0.2008,0.0,8.61,62.7,28.69,244,0.5779
2020-11,-0.2817,0.0,4.23,63.38,32.39,142,0.5375
2020-12,0.0915,0.0,17.61,73.94,8.45,142,0.504
2021-01,-0.0412,0.0,17.65,60.59,21.76,170,0.6283
2021-02,0.0143,0.0,15.71,70.0,14.29,70,0.5515
2021-03,-0.2022,0,2.25,75.28,22.47,89,0.4568
2021-04,-0.36,0.0,10.0,44.0,46.0,100,0.6594
2021-05,-0.0476,0.0,10.71,73.81,15.48,84,0.5126
2021-06,-0.4079,0.0,7.89,43.42,48.68,76,0.6362
2021-07,-0.3429,0.0,2.86,60.0,37.14,140,0.5334
2021-08,-0.1985,0,5.34,69.47,25.19,131,0.5177
2021-09,-0.2245,0,8.16,61.22,30.61,49,0.5868
2021-10,-0.0667,0.0,13.33,66.67,20.0,30,0.5833
2021-11,0.0685,0,21.92,63.01,15.07,73,0.6085
2021-12,-0.0743,0.0,12.84,66.89,20.27,148,0.5725
2022-01,-0.2388,0,8.96,58.21,32.84,67,0.6053
2022-02,-0.0806,0.0,14.52,62.9,22.58,62,0.6086
2022-03,-0.375,0.0,0.0,62.5,37.5,8,0.5175
2022-04,-0.2778,0.0,11.11,50.0,38.89,36,0.6595
2022-05,-0.375,0.0,10.0,42.5,47.5,40,0.6675
2022-06,-0.2353,0,0.0,76.47,23.53,17,0.4372
2022-07,-0.375,-0.5,12.5,37.5,50.0,8,0.744
2022-08,-0.0833,0.0,25.0,41.67,33.33,24,0.7755
2022-09,0,0.0,0.0,100.0,0.0,2,0.0
2022-10,-0.1951,0,9.76,60.98,29.27,41,0.6008
2022-11,-0.2353,0,0.0,76.47,23.53,17,0.4372
2022-12,-0.1053,0,26.32,36.84,36.84,19,0.8093
2023-01,-0.125,0.0,18.75,50.0,31.25,32,0.7071
2023-02,-0.375,0.0,0.0,62.5,37.5,8,0.5175
2023-03,-0.0667,0,20.0,53.33,26.67,15,0.7037
2023-04,-0.5,-0.5,0.0,50.0,50.0,2,0.7071
2023-05,-0.0625,0.0,6.25,81.25,12.5,16,0.4425
