source,period,year_month,sentence_count,anger_pct,disgust_pct,fear_pct,joy_pct,neutral_pct,sadness_pct,surprise_pct
bbc_news_tv,control,2016-06,74,1.35,0.0,2.7,10.81,66.22,6.76,12.16
bbc_news_tv,control,2016-07,41,4.88,2.44,2.44,14.63,68.29,7.32,0.0
bbc_news_tv,control,2016-08,70,7.14,7.14,8.57,21.43,45.71,4.29,5.71
bbc_news_tv,control,2016-09,58,3.45,0.0,3.45,12.07,70.69,6.9,3.45
bbc_news_tv,control,2016-10,55,1.82,3.64,5.45,16.36,60.0,7.27,5.45
bbc_news_tv,control,2016-11,66,1.52,0.0,12.12,12.12,59.09,6.06,9.09
bbc_news_tv,control,2016-12,87,3.45,5.75,2.3,17.24,62.07,5.75,3.45
bbc_news_tv,control,2017-01,85,9.41,3.53,9.41,15.29,43.53,9.41,9.41
bbc_news_tv,control,2017-02,97,9.28,3.09,3.09,14.43,57.73,6.19,6.19
bbc_news_tv,control,2017-03,66,10.61,1.52,3.03,13.64,59.09,10.61,1.52
bbc_news_tv,control,2017-04,99,6.06,5.05,4.04,18.18,48.48,12.12,6.06
bbc_news_tv,control,2017-05,79,11.39,1.27,5.06,12.66,55.7,3.8,10.13
bbc_news_tv,control,2017-06,100,8.0,3.0,5.0,8.0,59.0,9.0,8.0
bbc_news_tv,control,2017-07,90,2.22,4.44,5.56,15.56,55.56,11.11,5.56
bbc_news_tv,control,2017-08,88,11.36,5.68,5.68,10.23,53.41,11.36,2.27
bbc_news_tv,control,2017-09,108,1.85,8.33,2.78,11.11,64.81,7.41,3.7
bbc_news_tv,control,2017-10,65,3.08,9.23,6.15,12.31,46.15,15.38,7.69
bbc_news_tv,control,2017-11,91,7.69,3.3,4.4,9.89,53.85,8.79,12.09
bbc_news_tv,control,2017-12,86,8.14,5.81,6.98,9.3,54.65,5.81,9.3
bbc_news_tv,control,2018-01,65,10.77,3.08,4.62,13.85,53.85,9.23,4.62
bbc_news_tv,control,2018-02,88,6.82,4.55,3.41,12.5,52.27,12.5,7.95
bbc_news_tv,control,2018-03,75,8.0,4.0,10.67,13.33,49.33,10.67,4.0
bbc_news_tv,control,2018-04,97,6.19,4.12,10.31,14.43,50.52,8.25,6.19
bbc_news_tv,control,2018-05,93,9.68,2.15,3.23,11.83,56.99,5.38,10.75
bbc_news_tv,control,2018-06,85,14.12,8.24,10.59,14.12,40.0,5.88,7.06
bbc_news_tv,control,2018-07,65,6.15,3.08,4.62,9.23,60.0,3.08,13.85
bbc_news_tv,control,2018-08,91,7.69,4.4,5.49,6.59,63.74,5.49,6.59
bbc_news_tv,control,2018-09,66,10.61,4.55,4.55,10.61,51.52,7.58,10.61
bbc_news_tv,control,2018-10,77,3.9,1.3,2.6,11.69,68.83,7.79,3.9
bbc_news_tv,control,2018-11,88,9.09,5.68,7.95,6.82,57.95,5.68,6.82
bbc_news_tv,control,2018-12,93,10.75,4.3,3.23,15.05,52.69,5.38,8.6
bbc_news_tv,control,2019-01,74,1.35,2.7,8.11,8.11,60.81,12.16,6.76
bbc_news_tv,control,2019-02,62,6.45,3.23,8.06,17.74,53.23,4.84,6.45
bbc_news_tv,control,2019-03,91,6.59,3.3,9.89,5.49,60.44,12.09,2.2
bbc_news_tv,control,2019-04,80,8.75,3.75,3.75,7.5,56.25,15.0,5.0
bbc_news_tv,control,2019-05,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
bbc_news_tv,control,2019-06,80,7.5,3.75,6.25,20.0,50.0,8.75,3.75
bbc_news_tv,control,2019-07,93,6.45,1.08,5.38,9.68,59.14,12.9,5.38
bbc_news_tv,control,2019-08,87,10.34,1.15,10.34,5.75,62.07,6.9,3.45
bbc_news_tv,control,2019-09,74,16.22,5.41,4.05,6.76,51.35,9.46,6.76
bbc_news_tv,control,2019-10,63,6.35,3.17,4.76,15.87,55.56,4.76,9.52
bbc_news_tv,control,2019-11,58,6.9,10.34,0.0,10.34,62.07,3.45,6.9
bbc_news_tv,covid,2019-12,61,8.2,1.64,3.28,9.84,52.46,9.84,14.75
bbc_news_tv,covid,2020-01,62,4.84,3.23,4.84,6.45,69.35,4.84,6.45
bbc_news_tv,covid,2020-02,80,8.75,3.75,2.5,12.5,57.5,8.75,6.25
bbc_news_tv,covid,2020-03,49,6.12,0.0,12.24,10.2,53.06,10.2,8.16
bbc_news_tv,covid,2020-04,47,2.13,6.38,8.51,6.38,57.45,12.77,6.38
bbc_news_tv,covid,2020-05,47,2.13,2.13,14.89,12.77,53.19,12.77,2.13
bbc_news_tv,covid,2020-06,48,4.17,0.0,4.17,12.5,75.0,4.17,0.0
