source,period,year_month,total_sampled,covid_count
bbc_news_tv,control,2016-08,70,0
bbc_news_tv,control,2016-12,87,2
bbc_news_tv,control,2016-07,41,0
bbc_news_tv,control,2016-06,74,1
bbc_news_tv,control,2016-11,66,3
bbc_news_tv,control,2016-10,55,0
bbc_news_tv,control,2016-09,58,3
bbc_news_tv,control,2017-04,99,0
bbc_news_tv,control,2017-08,88,2
bbc_news_tv,control,2017-12,86,3
bbc_news_tv,control,2017-02,97,1
bbc_news_tv,control,2017-01,85,1
bbc_news_tv,control,2017-07,90,3
bbc_news_tv,control,2017-06,100,2
bbc_news_tv,control,2017-03,66,0
bbc_news_tv,control,2017-05,79,1
bbc_news_tv,control,2017-11,91,3
bbc_news_tv,control,2017-10,65,2
bbc_news_tv,control,2017-09,108,1
bbc_news_tv,control,2018-04,97,0
bbc_news_tv,control,2018-08,91,4
bbc_news_tv,control,2018-12,93,3
bbc_news_tv,control,2018-02,88,0
bbc_news_tv,control,2018-01,65,4
bbc_news_tv,control,2018-07,65,1
bbc_news_tv,control,2018-06,85,2
bbc_news_tv,control,2018-03,75,1
bbc_news_tv,control,2018-05,93,3
bbc_news_tv,control,2018-11,88,0
bbc_news_tv,control,2018-10,77,0
bbc_news_tv,control,2018-09,66,1
bbc_news_tv,control,2019-04,80,4
bbc_news_tv,control,2019-08,87,3
bbc_news_tv,control,2019-02,62,0
bbc_news_tv,control,2019-01,74,0
bbc_news_tv,control,2019-07,93,1
bbc_news_tv,control,2019-06,80,1
bbc_news_tv,control,2019-03,91,1
bbc_news_tv,control,2019-05,1,0
bbc_news_tv,control,2019-11,58,1
bbc_news_tv,control,2019-10,63,1
bbc_news_tv,control,2019-09,74,0
bbc_news_tv,covid,2019-12,61,1
bbc_news_tv,covid,2020-04,47,15
bbc_news_tv,covid,2020-08,52,4
bbc_news_tv,covid,2020-12,51,12
bbc_news_tv,covid,2020-02,80,4
bbc_news_tv,covid,2020-01,62,2
bbc_news_tv,covid,2020-07,49,7
bbc_news_tv,covid,2020-06,48,7
bbc_news_tv,covid,2020-03,49,11
bbc_news_tv,covid,2020-05,47,14
bbc_news_tv,covid,2020-11,50,11
bbc_news_tv,covid,2020-10,50,9
bbc_news_tv,covid,2020-09,49,5
bbc_news_tv,covid,2021-04,49,8
bbc_news_tv,covid,2021-08,50,9
bbc_news_tv,covid,2021-12,45,13
bbc_news_tv,covid,2021-02,51,11
