source,period,year_month,mean_sentiment,weighted_mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,covid_sentence_count,sentiment_std
bbc_news_tv,control,2016-06,-0.1034,-0.1069,-1,44.83,0.0,55.17,29,29,1.0122
bbc_news_tv,control,2016-07,1,1.0,1,100.0,0.0,0.0,7,7,0.0
bbc_news_tv,control,2016-08,0,-0.0007,0.0,50.0,0.0,50.0,24,24,1.0215
bbc_news_tv,control,2016-09,0.36,0.3911,1,68.0,0.0,32.0,25,25,0.9522
bbc_news_tv,control,2016-10,-0.2174,-0.2288,-1,39.13,0.0,60.87,23,23,0.998
bbc_news_tv,control,2016-11,-0.0638,-0.0658,-1,46.81,0.0,53.19,47,47,1.0087
bbc_news_tv,control,2016-12,-0.2615,-0.2665,-1,36.92,0.0,63.08,65,65,0.9727
bbc_news_tv,control,2017-01,0.4167,0.4157,1.0,70.83,0.0,29.17,48,48,0.9187
bbc_news_tv,control,2017-02,0,0.0059,0.0,50.0,0.0,50.0,52,52,1.0098
bbc_news_tv,control,2017-03,0.2727,0.274,1.0,63.64,0.0,36.36,22,22,0.9847
bbc_news_tv,control,2017-04,0.0476,0.0485,1.0,52.38,0.0,47.62,42,42,1.011
bbc_news_tv,control,2017-05,0,-0.03,0.0,50.0,0.0,50.0,22,22,1.0235
bbc_news_tv,control,2017-06,0.1186,0.1135,1,55.93,0.0,44.07,59,59,1.0015
bbc_news_tv,control,2017-07,-0.0667,-0.0663,-1.0,46.67,0.0,53.33,60,60,1.0062
bbc_news_tv,control,2017-08,0,0.0009,0.0,50.0,0.0,50.0,38,38,1.0134
bbc_news_tv,control,2017-09,0.2,0.2002,1.0,60.0,0.0,40.0,60,60,0.9881
bbc_news_tv,control,2017-10,0.2,0.2004,1.0,60.0,0.0,40.0,30,30,0.9965
bbc_news_tv,control,2017-11,0.614,0.6176,1,80.7,0.0,19.3,57,57,0.7963
bbc_news_tv,control,2017-12,-0.0667,-0.0656,-1,46.67,0.0,53.33,45,45,1.009
bbc_news_tv,control,2018-01,0,-0.0046,0.0,50.0,0.0,50.0,34,34,1.015
bbc_news_tv,control,2018-02,0.3043,0.3037,1.0,65.22,0.0,34.78,46,46,0.9631
bbc_news_tv,control,2018-03,0.0667,0.0653,1,53.33,0.0,46.67,45,45,1.009
bbc_news_tv,control,2018-04,0.0385,0.0382,1.0,51.92,0.0,48.08,52,52,1.009
bbc_news_tv,control,2018-05,0.2877,0.2902,1,64.38,0.0,35.62,73,73,0.9644
bbc_news_tv,control,2018-06,0.2308,0.2426,1,61.54,0.0,38.46,65,65,0.9806
bbc_news_tv,control,2018-07,0.0968,0.1043,1,54.84,0.0,45.16,31,31,1.0118
bbc_news_tv,control,2018-08,-0.0263,-0.032,-1.0,48.68,0.0,51.32,76,76,1.0063
bbc_news_tv,control,2018-09,-0.0526,-0.0404,-1,47.37,0.0,52.63,19,19,1.026
bbc_news_tv,control,2018-10,-0.3333,-0.3321,-1.0,33.33,0.0,66.67,24,24,0.9631
bbc_news_tv,control,2018-11,-0.1579,-0.1596,-1.0,42.11,0.0,57.89,38,38,1.0007
bbc_news_tv,control,2018-12,0.4359,0.4357,1,71.79,0.0,28.21,39,39,0.9118
bbc_news_tv,control,2019-01,0.1077,0.1112,1,55.38,0.0,44.62,65,65,1.0019
bbc_news_tv,control,2019-02,0,-0.0002,0.0,50.0,0.0,50.0,14,14,1.0377
bbc_news_tv,control,2019-03,-0.24,-0.2396,-1.0,38.0,0.0,62.0,50,50,0.9806
bbc_news_tv,control,2019-04,-0.0455,-0.0464,-1.0,47.73,0.0,52.27,44,44,1.0105
bbc_news_tv,control,2019-06,0.4419,0.4395,1,72.09,0.0,27.91,43,43,0.9077
bbc_news_tv,control,2019-07,-0.0312,-0.032,-1.0,48.44,0.0,51.56,64,64,1.0074
bbc_news_tv,control,2019-08,-0.1132,-0.1121,-1.0,44.34,0.0,55.66,106,106,0.9983
bbc_news_tv,control,2019-09,-0.1,-0.0995,-1.0,45.0,0.0,55.0,20,20,1.0208
bbc_news_tv,control,2019-10,-0.6667,-0.6674,-1.0,16.67,0.0,83.33,12,12,0.7785
bbc_news_tv,control,2019-11,0.1875,0.1896,1.0,59.38,0.0,40.62,32,32,0.998
bbc_news_tv,covid,2019-12,0.2222,0.2329,1.0,61.11,0.0,38.89,36,36,0.9888
bbc_news_tv,covid,2020-01,-0.2727,-0.2751,-1,36.36,0.0,63.64,55,55,0.971
bbc_news_tv,covid,2020-02,-0.6259,-0.6314,-1,18.71,0.0,81.29,139,139,0.7827
bbc_news_tv,covid,2020-03,-0.1884,-0.1898,-1.0,40.58,0.0,59.42,414,414,0.9833
bbc_news_tv,covid,2020-04,0.031,0.0318,1,51.55,0.0,48.45,419,419,1.0007
bbc_news_tv,covid,2020-05,-0.0167,-0.0174,-1.0,49.16,0.0,50.84,478,478,1.0009
bbc_news_tv,covid,2020-06,0.1538,0.1505,1.0,57.69,0.0,42.31,312,312,0.9897
bbc_news_tv,covid,2020-07,-0.0373,-0.0397,-1.0,48.13,0.0,51.87,268,268,1.0012
bbc_news_tv,covid,2020-08,0.0923,0.097,1.0,54.62,0.0,45.38,260,260,0.9977
bbc_news_tv,covid,2020-09,-0.2097,-0.2096,-1.0,39.52,0.0,60.48,248,248,0.9797
bbc_news_tv,covid,2020-10,-0.3235,-0.3229,-1.0,33.82,0.0,66.18,476,476,0.9472
bbc_news_tv,covid,2020-11,-0.2992,-0.3018,-1,35.04,0.0,64.96,391,391,0.9554
bbc_news_tv,covid,2020-12,-0.3863,-0.3876,-1,30.69,0.0,69.31,277,277,0.9241
bbc_news_tv,covid,2021-01,-0.1074,-0.1059,-1,44.63,0.0,55.37,363,363,0.9956
bbc_news_tv,covid,2021-02,0.0764,0.0774,1.0,53.82,0.0,46.18,288,288,0.9988
bbc_news_tv,covid,2021-03,0.144,0.1477,1.0,57.2,0.0,42.8,250,250,0.9916
bbc_news_tv,covid,2021-04,-0.053,-0.0519,-1.0,47.35,0.0,52.65,264,264,1.0005
bbc_news_tv,covid,2021-05,-0.2371,-0.2378,-1.0,38.14,0.0,61.86,194,194,0.974
bbc_news_tv,covid,2021-06,0.1361,0.1375,1,56.8,0.0,43.2,169,169,0.9936
bbc_news_tv,covid,2021-07,-0.022,-0.0232,-1,48.9,0.0,51.1,227,227,1.002
bbc_news_tv,covid,2021-08,-0.0333,-0.0339,-1.0,48.33,0.0,51.67,180,180,1.0022
bbc_news_tv,covid,2021-09,0.0286,0.024,1,51.43,0.0,48.57,105,105,1.0044
bbc_news_tv,covid,2021-10,0.4615,0.4563,1.0,73.08,0.0,26.92,104,104,0.8914
bbc_news_tv,covid,2021-11,-0.1905,-0.1808,-1.0,40.48,0.0,59.52,42,42,0.9936
bbc_news_tv,covid,2021-12,-0.1842,-0.1844,-1.0,40.79,0.0,59.21,304,304,0.9845
bbc_news_tv,covid,2022-01,0.0163,0.0129,1.0,50.81,0.0,49.19,246,246,1.0019
bbc_news_tv,covid,2022-02,0.0303,0.0347,1.0,51.52,0.0,48.48,132,132,1.0033
bbc_news_tv,covid,2022-03,0.2,0.2003,1.0,60.0,0.0,40.0,20,20,1.0052
bbc_news_tv,covid,2022-04,0.2692,0.2803,1.0,63.46,0.0,36.54,52,52,0.9725
bbc_news_tv,covid,2022-05,-0.4419,-0.4428,-1.0,27.91,0.0,72.09,86,86,0.9023
bbc_news_tv,covid,2022-06,0.2727,0.2778,1,63.64,0.0,36.36,11,11,1.009
bbc_news_tv,covid,2022-07,-0.0811,-0.0857,-1,45.95,0.0,54.05,111,111,1.0012
bbc_news_tv,covid,2022-08,0.3333,0.3328,1,66.67,0.0,33.33,51,51,0.9522
bbc_news_tv,covid,2022-09,-0.2,-0.1996,-1,40.0,0.0,60.0,15,15,1.0142
bbc_news_tv,covid,2022-10,0,-0.0007,0.0,50.0,0.0,50.0,56,56,1.009
bbc_news_tv,covid,2022-11,-0.2667,-0.2785,-1.0,36.67,0.0,63.33,30,30,0.9803
bbc_news_tv,covid,2022-12,0.0353,0.0347,1,51.76,0.0,48.24,85,85,1.0053
bbc_news_tv,covid,2023-01,-0.3898,-0.3828,-1.0,30.51,0.0,69.49,118,118,0.9248
bbc_news_tv,covid,2023-02,-0.0811,-0.0817,-1,45.95,0.0,54.05,37,37,1.0105
bbc_news_tv,covid,2023-03,-0.3884,-0.3818,-1,30.58,0.0,69.42,121,121,0.9253
bbc_news_tv,covid,2023-04,-0.0286,-0.0217,-1,48.57,0.0,51.43,35,35,1.0142
bbc_news_tv,covid,2023-05,0.1304,0.1321,1,56.52,0.0,43.48,23,23,1.0137
bbc_radio4,control,2016-06,0,0.0005,0.0,50.0,0.0,50.0,10,10,1.0541
bbc_radio4,control,2016-07,0.5,0.4961,1.0,75.0,0.0,25.0,4,4,1.0
bbc_radio4,control,2016-08,-0.7778,-0.7768,-1,11.11,0.0,88.89,9,9,0.6667
bbc_radio4,control,2016-09,0,0.0002,0.0,50.0,0.0,50.0,16,16,1.0328
bbc_radio4,control,2016-10,0.1429,0.1441,1,57.14,0.0,42.86,7,7,1.069
bbc_radio4,control,2016-11,-0.2,-0.1991,-1,40.0,0.0,60.0,5,5,1.0954
bbc_radio4,control,2016-12,0.25,0.2512,1.0,62.5,0.0,37.5,8,8,1.0351
bbc_radio4,control,2017-01,-0.4286,-0.4299,-1,28.57,0.0,71.43,7,7,0.9759
bbc_radio4,control,2017-02,-1,-1.0,-1,0.0,0.0,100.0,3,3,0.0
bbc_radio4,control,2017-03,0.0588,0.065,1,52.94,0.0,47.06,17,17,1.029
bbc_radio4,control,2017-04,-0.6923,-0.6929,-1,15.38,0.0,84.62,13,13,0.7511
bbc_radio4,control,2017-05,0,-0.0026,0.0,50.0,0.0,50.0,4,4,1.1547
bbc_radio4,control,2017-06,-0.3333,-0.3338,-1.0,33.33,0.0,66.67,6,6,1.0328
bbc_radio4,control,2017-07,-0.2,-0.2001,-1,40.0,0.0,60.0,5,5,1.0954
bbc_radio4,control,2017-08,-0.1429,-0.1424,-1.0,42.86,0.0,57.14,28,28,1.0079
bbc_radio4,control,2017-09,0,0.0043,0.0,50.0,0.0,50.0,4,4,1.1547
bbc_radio4,control,2017-10,-0.1429,-0.1427,-1,42.86,0.0,57.14,7,7,1.069
bbc_radio4,control,2017-11,0.25,0.2477,1.0,62.5,0.0,37.5,8,8,1.0351
bbc_radio4,control,2017-12,-0.6,-0.589,-1,20.0,0.0,80.0,5,5,0.8944
bbc_radio4,control,2018-01,0,0.0072,0.0,50.0,0.0,50.0,14,14,1.0377
bbc_radio4,control,2018-02,0.3333,0.3346,1,66.67,0.0,33.33,9,9,1.0
bbc_radio4,control,2018-03,-0.4,-0.399,-1.0,30.0,0.0,70.0,10,10,0.9661
