source,period,year_month,mean_sentiment,weighted_mean_sentiment,median_sentiment,positive_pct,neutral_pct,negative_pct,sentence_count,covid_sentence_count,sentiment_std
bbc_news_tv,control,2016-06,0,0.0429,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2016-09,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
bbc_news_tv,control,2016-10,0,0.6835,0,33.33,33.33,33.33,3,3,1.0
bbc_news_tv,control,2016-11,0.75,1.0,1.0,75.0,25.0,0.0,4,4,0.5
bbc_news_tv,control,2016-12,-0.25,-0.0349,-0.5,25.0,25.0,50.0,8,8,0.8864
bbc_news_tv,control,2017-01,1,1.0,1.0,100.0,0.0,0.0,6,6,0.0
bbc_news_tv,control,2017-02,0.4286,1.0,0,42.86,57.14,0.0,7,7,0.5345
bbc_news_tv,control,2017-03,1,1.0,1,100.0,0.0,0.0,1,1,0.0
bbc_news_tv,control,2017-04,0.6667,0.9816,1,66.67,33.33,0.0,3,3,0.5774
bbc_news_tv,control,2017-06,-0.1667,-0.1831,-0.5,33.33,16.67,50.0,6,6,0.9832
bbc_news_tv,control,2017-07,-0.75,-1.0,-1.0,0.0,25.0,75.0,4,4,0.5
bbc_news_tv,control,2017-08,0.8571,1.0,1,85.71,14.29,0.0,7,7,0.378
bbc_news_tv,control,2017-09,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
bbc_news_tv,control,2017-10,0,0.0,0,0.0,100.0,0.0,1,1,0.0
bbc_news_tv,control,2017-11,0.375,1.0,0.0,37.5,62.5,0.0,8,8,0.5175
bbc_news_tv,control,2017-12,1,1.0,1.0,100.0,0.0,0.0,2,2,0.0
bbc_news_tv,control,2018-01,-0.6,-0.4978,-1,20.0,0.0,80.0,5,5,0.8944
bbc_news_tv,control,2018-02,0.3333,-0.0312,1.0,66.67,0.0,33.33,6,6,1.0328
bbc_news_tv,control,2018-03,0,0.8627,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2018-04,-0.375,-0.7132,-1.0,25.0,12.5,62.5,8,8,0.9161
bbc_news_tv,control,2018-05,0.4,0.5825,1,60.0,20.0,20.0,5,5,0.8944
bbc_news_tv,control,2018-06,0.1667,0.353,0.5,50.0,16.67,33.33,6,6,0.9832
bbc_news_tv,control,2018-08,0.6,1.0,1,60.0,40.0,0.0,5,5,0.5477
bbc_news_tv,control,2018-10,-1,-1.0,-1,0.0,0.0,100.0,3,3,0.0
bbc_news_tv,control,2018-12,0,0.0501,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2019-01,-0.7273,-0.7021,-1,9.09,9.09,81.82,11,11,0.6467
bbc_news_tv,control,2019-02,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
bbc_news_tv,control,2019-03,-1,-1.0,-1.0,0.0,0.0,100.0,4,4,0.0
bbc_news_tv,control,2019-04,0.5714,0.799,1,71.43,14.29,14.29,7,7,0.7868
bbc_news_tv,control,2019-06,0.5,1.0,0.5,50.0,50.0,0.0,4,4,0.5774
bbc_news_tv,control,2019-07,0,0.6222,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2019-08,-0.2143,-0.3339,0.0,21.43,35.71,42.86,14,14,0.8018
bbc_news_tv,control,2019-09,-1,-1.0,-1,0.0,0.0,100.0,1,1,0.0
bbc_news_tv,control,2019-10,0,0.1191,0.0,50.0,0.0,50.0,2,2,1.4142
bbc_news_tv,control,2019-11,0.6667,1.0,1,66.67,33.33,0.0,3,3,0.5774
bbc_news_tv,covid,2019-12,1,1.0,1.0,100.0,0.0,0.0,4,4,0.0
bbc_news_tv,covid,2020-01,0.2353,0.6237,0,41.18,41.18,17.65,17,17,0.7524
bbc_news_tv,covid,2020-02,-0.0526,-0.0326,0,24.56,45.61,29.82,57,57,0.7421
bbc_news_tv,covid,2020-03,-0.0102,-0.0284,0.0,38.27,22.45,39.29,196,196,0.8828
bbc_news_tv,covid,2020-04,0.2254,0.2952,1,52.58,17.37,30.05,213,213,0.8827
bbc_news_tv,covid,2020-05,0.1116,0.111,0.0,43.3,24.55,32.14,224,224,0.8633
bbc_news_tv,covid,2020-06,0.0667,0.0653,0.0,40.0,26.67,33.33,120,120,0.8573
bbc_news_tv,covid,2020-07,0.0541,0.0199,0.0,42.57,20.27,37.16,148,148,0.8943
bbc_news_tv,covid,2020-08,0.0702,0.0422,0.0,41.23,24.56,34.21,114,114,0.8695
bbc_news_tv,covid,2020-09,0.0699,0.065,0,41.96,23.08,34.97,143,143,0.8773
bbc_news_tv,covid,2020-10,0.1485,0.2438,0,42.79,29.26,27.95,229,229,0.8297
